Team,Squad_Size,Average_Age,Number_of_Foreigners,Average_Market_Value,Total_Market_Value,Position,Goal_Difference,Points,Year,Squad_Size_Normalized_by_Avg,Squad_Size_Normalized_by_Max,Average_Age_Normalized_by_Avg,Average_Age_Normalized_by_Max,Number_of_Foreigners_Normalized_by_Avg,Number_of_Foreigners_Normalized_by_Max,Average_Market_Value_Normalized_by_Avg,Average_Market_Value_Normalized_by_Max,Total_Market_Value_Normalized_by_Avg,Total_Market_Value_Normalized_by_Max
crystal palace,36,28.2,18,5.38,193.85,14,-25,44,2020,0.9,0.6792452830188679,1.0964230171073095,1.0,0.7643312101910827,0.5625,0.4694180263502312,0.18545329196828678,0.42358159708944704,0.18639423076923076
sheffield united,40,25.4,16,3.75,149.85,20,-43,23,2020,1.0,0.7547169811320755,0.9875583203732504,0.900709219858156,0.6794055201698513,0.5,0.3271965797050868,0.12926577042399173,0.32743720569437007,0.14408653846153846
west bromwich albion,43,26.6,18,3.28,141.15,19,-41,26,2020,1.075,0.8113207547169812,1.0342146189735615,0.9432624113475178,0.7643312101910827,0.5625,0.2861879417153826,0.11306446053085142,0.30842683739579807,0.13572115384615385
burnley fc,32,27.1,11,4.13,132.3,17,-22,39,2020,0.8,0.6037735849056604,1.0536547433903578,0.9609929078014185,0.46709129511677283,0.34375,0.36035249978186895,0.1423647018269562,0.289088704126561,0.12721153846153846
manchester city,39,24.7,23,25.74,1000.0,1,73,93,2021,0.968944099378882,0.7959183673469388,0.9711028110870847,0.8853046594982079,0.9387755102040817,0.6388888888888888,2.2540391435702083,1.0,2.141923876025446,1.0
liverpool fc,49,24.5,29,18.75,918.9,2,68,92,2021,1.2173913043478262,1.0,0.9632396304305092,0.878136200716846,1.183673469387755,0.8055555555555556,1.6419282805727045,0.7284382284382285,1.9682138496797823,0.9188999999999999
chelsea fc,44,25.6,25,20.78,914.5,3,43,74,2021,1.093167701863354,0.8979591836734694,1.006487124041675,0.917562724014337,1.0204081632653061,0.6944444444444444,1.8196943824160428,0.8073038073038074,1.9587893846252704,0.9145
manchester united,43,26.0,29,17.89,769.15,6,0,58,2021,1.0683229813664596,0.8775510204081632,1.0222134853548261,0.931899641577061,1.183673469387755,0.8055555555555556,1.5666185034371032,0.6950271950271951,1.6474607492449718,0.76915
tottenham hotspur,45,24.0,26,15.32,689.35,4,29,71,2021,1.1180124223602483,0.9183673469387755,0.9435816787890702,0.8602150537634409,1.0612244897959184,0.7222222222222222,1.3415648671132712,0.5951825951825952,1.4765352239381413,0.68935
arsenal fc,41,24.0,24,14.95,613.05,5,13,69,2021,1.0186335403726707,0.8367346938775511,0.9435816787890702,0.8602150537634409,0.9795918367346939,0.6666666666666666,1.309164149043303,0.5808080808080808,1.3131064321973995,0.61305
leicester city,40,25.7,26,13.16,526.55,8,3,52,2021,0.9937888198757764,0.8163265306122449,1.0104187143699628,0.921146953405018,1.0612244897959184,0.7222222222222222,1.1524147291912954,0.5112665112665113,1.1278300169211986,0.52655
aston villa,44,24.8,21,11.09,487.75,14,-2,45,2021,1.093167701863354,0.8979591836734694,0.9750344014153726,0.888888888888889,0.8571428571428571,0.5833333333333334,0.9711458470160689,0.4308469308469309,1.0447233705314114,0.48775
everton fc,42,26.0,24,11.41,479.05,16,-23,39,2021,1.0434782608695652,0.8571428571428571,1.0222134853548261,0.931899641577061,0.9795918367346939,0.6666666666666666,0.9991680896711764,0.4432789432789433,1.0260886328099899,0.47905000000000003
wolverhampton wanderers,38,24.8,30,9.92,376.95,10,-5,51,2021,0.9440993788819876,0.7755102040816326,0.9750344014153726,0.888888888888889,1.2244897959183674,0.8333333333333334,0.8686895223083322,0.3853923853923854,0.8073982050677918,0.37695
west ham united,37,26.3,20,9.59,354.9,7,9,56,2021,0.9192546583850931,0.7551020408163265,1.0340082563396895,0.9426523297491041,0.8163265306122449,0.5555555555555556,0.8397915845702525,0.3725718725718726,0.7601687836014307,0.3549
brighton & hove albion,43,24.6,31,7.4,318.0,9,-2,51,2021,1.0683229813664596,0.8775510204081632,0.967171220758797,0.881720430107527,1.2653061224489797,0.8611111111111112,0.6480143613993607,0.28749028749028754,0.6811317925760918,0.318
newcastle united,34,27.9,19,9.23,313.9,11,-18,49,2021,0.84472049689441,0.6938775510204082,1.096913701592294,1.0,0.7755102040816326,0.5277777777777778,0.8082665615832567,0.3585858585858586,0.6723499046843875,0.31389999999999996
